Year,Country,Continent,Emission
2011,Aruba,South America,23.9224121
2011,Andorra,Europe,5.96868547
2011,Afghanistan,Asia,0.425262105
2011,Angola,Africa,1.35400753
2011,Albania,Europe,1.60703771
2011,United Arab Emirates,Asia,20.43383762
2011,Argentina,South America,4.562048512
2011,Armenia,Europe,1.671656923
2011,Antigua And Barbuda,North America,5.823804338
2011,Australia,Oceania,16.51920992
2011,Austria,Europe,7.769983423
2011,Azerbaijan,Europe,3.647379147
2011,Burundi,Africa,0.021349926
2011,Belgium,Europe,8.849398302
2011,Benin,Africa,0.509962226
2011,Burkina Faso,Africa,0.11998056
2011,Bangladesh,Asia,0.372017166
2011,Bulgaria,Europe,6.71438251
2011,Bahrain,Asia,17.94732981
2011,Bahamas,North America,5.199844019
2011,Bosnia And Herzegovina,Europe,6.19665215
2011,Belarus,Europe,6.682510398
2011,Belize,North America,1.670904302
2011,Bermuda,North America,6.07721021
2011,Bolivia,South America,1.599499039
2011,Brazil,South America,2.191393564
2011,Barbados,North America,5.580177618
2011,Brunei,Asia,24.39201338
2011,Bhutan,Asia,0.766205619
2011,Botswana,Africa,2.323345006
2011,Central African Republic,Africa,0.063127814
2011,Canada,North America,14.13581338
2011,Switzerland,Europe,4.625229924
2011,Chile,South America,4.61644538
2011,China,Asia,6.710301991
2011,Cote D'Ivoire,Africa,0.312877703
2011,Cameroon,Africa,0.268091793
2011,Rep Of Congo,Africa,0.538098379
2011,Colombia,South America,1.560629099
2011,Comoros,Africa,0.220233473
2011,Cabo Verde,Africa,0.859061433
2011,Costa Rica,North America,1.704974495
2011,Cuba,North America,3.172315091
2011,Cayman Islands,North America,10.30493107
2011,Cyprus,Europe,6.735375823
2011,Czech Republic,Europe,10.43108813
2011,Germany,Europe,8.917832846
2011,Djibouti,Africa,0.561940931
2011,Dominica,North America,1.746141565
2011,Denmark,Europe,7.248328717
2011,Dominican Republic,North America,2.182907888
2011,Algeria,Africa,3.316037892
2011,Ecuador,South America,2.354017387
2011,Egypt,Africa,2.635115225
2011,Eritrea,Africa,0.108718365
2011,Spain,Europe,5.790764234
2011,Estonia,Europe,14.04988252
2011,Ethiopia,Africa,0.083943117
2011,Finland,Europe,10.1640461
2011,Fiji,Oceania,1.424813248
2011,France,Europe,5.185043424
2011,Faroe Islands,Europe,11.72121175
2011,Micronesia,Oceania,1.240335923
2011,Gabon,Africa,1.418165749
2011,United Kingdom,Europe,7.085732086
2011,Georgia,Europe,2.046895742
2011,Ghana,Africa,0.404379798
2011,Guinea,Africa,0.229423425
2011,Gambia,Africa,0.241098417
2011,Guinea-Bissau,Africa,0.146810683
2011,Equatorial Guinea,Africa,8.907241536
2011,Greece,Europe,7.568519083
2011,Grenada,North America,2.408137432
2011,Greenland,North America,12.44034101
2011,Guatemala,North America,0.748055056
2011,Guyana,South America,2.357722028
2011,Hong Kong,Asia,5.695268539
2011,Honduras,North America,1.103745053
2011,Croatia,Europe,4.801530011
2011,Haiti,North America,0.217962048
2011,Hungary,Europe,4.862989931
2011,Indonesia,Asia,2.303780983
2011,India,Asia,1.662873483
2011,Ireland,Europe,7.880759326
2011,Iran,Asia,7.802145093
2011,Iraq,Asia,4.20163513
2011,Iceland,Europe,5.896828979
2011,Israel,Asia,8.952413531
2011,Italy,Europe,6.702557614
2011,Jamaica,North America,2.872655693
2011,Jordan,Asia,3.601147064
2011,Japan,Asia,9.291834303
2011,Kazakhstan,Asia,15.81009754
2011,Kenya,Africa,0.327569171
2011,Kyrgyz Republic,Asia,1.199591629
2011,Cambodia,Asia,0.308073152
2011,Kiribati,Oceania,0.595622098
2011,St. Kitts And Nevis,North America,5.050964187
2011,South Korea,Asia,11.84075687
2011,Kuwait,Asia,28.10266175
2011,Lebanon,Asia,4.668312508
2011,Liberia,Africa,0.218425012
2011,Libya,Africa,6.204914344
2011,St. Lucia,North America,2.270423588
2011,Liechtenstein,Europe,1.405096204
2011,Sri Lanka,Asia,0.72992084
2011,Lesotho,Africa,1.082269608
2011,Lithuania,Europe,4.537558514
2011,Luxembourg,Europe,20.8978117
2011,Latvia,Europe,3.786801437
2011,Morocco,Africa,1.737915547
2011,Moldova,Europe,1.398821793
2011,Madagascar,Africa,0.112992805
2011,Maldives,Asia,2.927763926
2011,Mexico,North America,3.876107611
2011,Marshall Islands,Oceania,1.954207191
2011,Macedonia,Europe,4.519210141
2011,Mali,Africa,0.079956379
2011,Malta,Europe,6.034321639
2011,Myanmar,Asia,0.200285212
2011,Montenegro,Europe,4.145547583
2011,Mongolia,Asia,6.915146531
2011,Mozambique,Africa,0.131189805
2011,Mauritania,Africa,0.627225464
2011,Mauritius,Africa,3.127070817
2011,Malawi,Africa,0.079231485
2011,Malaysia,Asia,7.898823573
2011,Namibia,Africa,1.239160489
2011,New Caledonia,Oceania,15.17329528
2011,Niger,Africa,0.083958178
2011,Nigeria,Africa,0.53749756
2011,Nicaragua,North America,0.843541955
2011,Netherlands,Europe,10.06448974
2011,Norway,Europe,9.192879069
2011,Nepal,Asia,0.159474455
2011,New Zealand,Oceania,7.124050867
2011,Oman,Asia,20.20389451
2011,Pakistan,Asia,0.941171125
2011,Panama,North America,2.625276244
2011,Peru,South America,1.783233144
2011,Philippines,Asia,0.867845343
2011,Palau,Oceania,10.85543046
2011,Papua New Guinea,Oceania,0.746895234
2011,Poland,Europe,8.335786706
2011,North Korea,Asia,2.987182112
2011,Portugal,Europe,4.709849624
2011,Paraguay,South America,0.841915242
2011,French Polynesia,Oceania,3.167952684
2011,Qatar,Asia,44.01892637
2011,Romania,Europe,4.210560124
2011,Russian Federation,Asia,12.64732823
2011,Rwanda,Africa,0.062874197
2011,Saudi Arabia,Asia,18.07245072
2011,Sudan,Africa,0.349548724
